"schema","child_table","constraint_name","constraint_type","child_columns","parent_schema","parent_table","parent_columns","on_update","on_delete","validated","tenant_pair_detected","definition","classification","expected","difference"
"public","ai_comments","ai_comments_clinic_id_comment_date_key","UNIQUE","clinic_id,comment_date",,,"",,,"true","false","UNIQUE (clinic_id, comment_date)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","ai_comments","daily_ai_comments_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","ai_comments","daily_ai_comments_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_cancelled_by_fkey","FOREIGN KEY","cancelled_by","public","profiles","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (cancelled_by) REFERENCES profiles(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_created_by_fkey","FOREIGN KEY","created_by","public","profiles","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (created_by) REFERENCES profiles(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_number_clinic_unique","UNIQUE","clinic_id,appointment_number",,,"",,,"true","false","UNIQUE (clinic_id, appointment_number)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_patient_id_fkey","FOREIGN KEY","patient_id","public","patients","id","NO ACTION","CASCADE","true","false","FOREIGN KEY (patient_id) REFERENCES patients(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_priority_check","CHECK","priority",,,"",,,"true","false","CHECK (((priority)::text = ANY (ARRAY[('low'::character varying)::text, ('normal'::character varying)::text, ('high'::character varying)::text, ('urgent'::character varying)::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_staff_id_fkey","FOREIGN KEY","staff_id","public","staff","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (staff_id) REFERENCES staff(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_start_before_end","CHECK","start_time,end_time",,,"",,,"true","false","CHECK ((start_time < end_time))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_status_check","CHECK","status",,,"",,,"true","false","CHECK (((status)::text = ANY (ARRAY[('scheduled'::character varying)::text, ('confirmed'::character varying)::text, ('in_progress'::character varying)::text, ('completed'::character varying)::text, ('cancelled'::character varying)::text, ('no_show'::character varying)::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","audit_logs","audit_logs_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","SET NULL","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","audit_logs","audit_logs_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","audit_logs","audit_logs_user_id_fkey","FOREIGN KEY","user_id","public","staff","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (user_id) REFERENCES staff(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_feedback","beta_feedback_category_check","CHECK","category",,,"",,,"true","false","CHECK ((category = ANY (ARRAY['feature_request'::text, 'bug_report'::text, 'usability'::text, 'performance'::text, 'other'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_feedback","beta_feedback_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_feedback","beta_feedback_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_feedback","beta_feedback_priority_check","CHECK","priority",,,"",,,"true","false","CHECK ((priority = ANY (ARRAY['p0'::text, 'p1'::text, 'p2'::text, 'p3'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_feedback","beta_feedback_severity_check","CHECK","severity",,,"",,,"true","false","CHECK ((severity = ANY (ARRAY['critical'::text, 'high'::text, 'medium'::text, 'low'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_feedback","beta_feedback_status_check","CHECK","status",,,"",,,"true","false","CHECK ((status = ANY (ARRAY['new'::text, 'acknowledged'::text, 'in_progress'::text, 'resolved'::text, 'closed'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_usage_metrics","beta_usage_metrics_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_usage_metrics","beta_usage_metrics_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_usage_metrics","period_check","CHECK","period_end,period_start",,,"",,,"true","false","CHECK ((period_end > period_start))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_usage_metrics","unique_clinic_period","UNIQUE","clinic_id,period_start,period_end",,,"",,,"true","false","UNIQUE (clinic_id, period_start, period_end)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","billing_audit_logs","billing_audit_logs_actor_type_check","CHECK","actor_type",,,"",,,"true","false","CHECK ((actor_type = ANY (ARRAY['user'::text, 'stripe'::text, 'system'::text, 'internal'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","billing_audit_logs","billing_audit_logs_after_state_object_check","CHECK","after_state",,,"",,,"true","false","CHECK (((after_state IS NULL) OR (jsonb_typeof(after_state) = 'object'::text)))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","billing_audit_logs","billing_audit_logs_before_state_object_check","CHECK","before_state",,,"",,,"true","false","CHECK (((before_state IS NULL) OR (jsonb_typeof(before_state) = 'object'::text)))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
