"schema","signature","function_name","database_callers","literal_runtime_callers","unknowns"
"public","accept_invite(uuid)","accept_invite","","","dynamic/transitive runtime callers"
"public","activate_billable_store_if_capacity(uuid,uuid)","activate_billable_store_if_capacity","","src/lib/billing/tenant-activation.ts:285:server-or-shared","dynamic/transitive runtime callers"
"public","aggregate_mfa_stats(uuid,timestamp with time zone,timestamp with time zone)","aggregate_mfa_stats","","","dynamic/transitive runtime callers"
"public","analyze_patient_segments(uuid)","analyze_patient_segments","","","dynamic/transitive runtime callers"
"public","analyze_staff_efficiency(uuid,integer)","analyze_staff_efficiency","","","dynamic/transitive runtime callers"
"app_private","app_private.assert_manager_clinic_assignment_valid()","assert_manager_clinic_assignment_valid","TRIGGER:public.manager_clinic_assignments:assert_manager_clinic_assignment_valid_insert; TRIGGER:public.manager_clinic_assignments:assert_manager_clinic_assignment_valid_update","","dynamic/transitive runtime callers"
"app_private","app_private.assert_subscription_org_root_clinic()","assert_subscription_org_root_clinic","TRIGGER:public.subscriptions:subscriptions_org_root_clinic_guard","","dynamic/transitive runtime callers"
"app_private","app_private.belongs_to_clinic(uuid)","belongs_to_clinic","","","dynamic/transitive runtime callers"
"app_private","app_private.can_access_clinic(uuid)","can_access_clinic","POLICY:public.ai_comments:ai_comments_delete; POLICY:public.ai_comments:ai_comments_insert; POLICY:public.ai_comments:ai_comments_select; POLICY:public.ai_comments:ai_comments_update; POLICY:public.appointments:appointments_select_for_staff; POLICY:public.audit_logs:audit_logs_select_for_admins; POLICY:public.blocks:blocks_delete_for_admin; POLICY:public.blocks:blocks_insert_for_managers; POLICY:public.blocks:blocks_select_for_staff; POLICY:public.blocks:blocks_update_for_managers; POLICY:public.calendar_feed_tokens:calendar_feed_tokens_select_scoped; POLICY:public.care_episodes:care_episodes_insert_for_staff; POLICY:public.care_episodes:care_episodes_select_for_staff; POLICY:public.care_episodes:care_episodes_update_for_staff; POLICY:public.chat_messages:chat_messages_insert; POLICY:public.chat_messages:chat_messages_select; POLICY:public.chat_sessions:chat_sessions_delete; POLICY:public.chat_sessions:chat_sessions_insert; POLICY:public.chat_sessions:chat_sessions_select; POLICY:public.chat_sessions:chat_sessions_update; POLICY:public.clinic_feature_flags:clinic_feature_flags_select_scoped; POLICY:public.clinic_settings:clinic_settings_delete; POLICY:public.clinic_settings:clinic_settings_insert; POLICY:public.clinic_settings:clinic_settings_select; POLICY:public.clinic_settings:clinic_settings_update; POLICY:public.clinics:clinics_admin_insert; POLICY:public.clinics:clinics_admin_select; POLICY:public.clinics:clinics_admin_update; POLICY:public.clinics:clinics_own_select; POLICY:public.csp_violations:csp_violations_select_admin; POLICY:public.csp_violations:csp_violations_update_admin; POLICY:public.customer_insurance_coverages:customer_insurance_coverages_select_for_staff; POLICY:public.customer_insurance_coverages:customer_insurance_coverages_write_for_clinic_pricing_admin; POLICY:public.customers:customers_delete_for_admin; POLICY:public.customers:customers_insert_for_staff; POLICY:public.customers:customers_select_for_staff; POLICY:public.customers:customers_update_for_staff; POLICY:public.daily_report_item_tags:daily_report_item_tags_delete_for_managers; POLICY:public.daily_report_item_tags:daily_report_item_tags_insert_for_staff; POLICY:public.daily_report_item_tags:daily_report_item_tags_select_for_staff; POLICY:public.daily_report_item_tags:daily_report_item_tags_update_for_staff; POLICY:public.daily_report_items:daily_report_items_delete_for_managers; POLICY:public.daily_report_items:daily_report_items_insert_for_staff; POLICY:public.daily_report_items:daily_report_items_select_for_staff; POLICY:public.daily_report_items:daily_report_items_update_for_staff; POLICY:public.daily_reports:daily_reports_delete_for_managers; POLICY:public.daily_reports:daily_reports_insert_for_staff; POLICY:public.daily_reports:daily_reports_select_for_staff; POLICY:public.daily_reports:daily_reports_update_for_staff; POLICY:public.menu_billing_profiles:menu_billing_profiles_select_for_staff; POLICY:public.menu_billing_profiles:menu_billing_profiles_write_for_clinic_pricing_admin; POLICY:public.menu_template_billing_profiles:menu_template_billing_profiles_select_for_managers; POLICY:public.menu_template_billing_profiles:menu_template_billing_profiles_write_for_admin; POLICY:public.menu_templates:menu_templates_delete_for_managers; POLICY:public.menu_templates:menu_templates_insert_for_managers; POLICY:public.menu_templates:menu_templates_select_for_managers; POLICY:public.menu_templates:menu_templates_update_for_managers; POLICY:public.menus:menus_delete_for_admin; POLICY:public.menus:menus_insert_for_managers; POLICY:public.menus:menus_select_for_managers; POLICY:public.menus:menus_select_for_staff; POLICY:public.menus:menus_update_for_managers; POLICY:public.patient_outreach_campaigns:patient_outreach_campaigns_insert_scoped; POLICY:public.patient_outreach_campaigns:patient_outreach_campaigns_select_scoped; POLICY:public.patient_outreach_campaigns:patient_outreach_campaigns_update_scoped; POLICY:public.patient_outreach_recipients:patient_outreach_recipients_insert_scoped; POLICY:public.patient_outreach_recipients:patient_outreach_recipients_select_scoped; POLICY:public.patient_outreach_recipients:patient_outreach_recipients_update_scoped; POLICY:public.patients:patients_delete_for_managers; POLICY:public.patients:patients_select_for_staff; POLICY:public.patients:patients_update_for_staff; POLICY:public.profiles:profiles_admin_select; POLICY:public.registered_devices:registered_devices_admin_select; POLICY:public.registered_devices:registered_devices_self_all; POLICY:public.reservation_history:reservation_history_delete_for_admin; POLICY:public.reservation_history:reservation_history_select_for_staff; POLICY:public.reservation_history:reservation_history_update_for_admin; POLICY:public.reservations:reservations_delete_for_managers; POLICY:public.reservations:reservations_insert_for_staff; POLICY:public.reservations:reservations_select_for_staff; POLICY:public.reservations:reservations_update_for_staff; POLICY:public.resources:resources_delete_for_admin; POLICY:public.resources:resources_insert_for_managers; POLICY:public.resources:resources_select_for_staff; POLICY:public.resources:resources_update_for_managers; POLICY:public.revenue_estimate_lines:revenue_estimate_lines_select_for_staff; POLICY:public.revenue_estimate_lines:revenue_estimate_lines_write_for_staff; POLICY:public.revenue_estimate_overrides:revenue_estimate_overrides_insert_for_staff; POLICY:public.revenue_estimate_overrides:revenue_estimate_overrides_select_for_staff; POLICY:public.revenue_estimate_warnings:revenue_estimate_warnings_select_for_staff; POLICY:public.revenue_estimate_warnings:revenue_estimate_warnings_write_for_staff; POLICY:public.revenue_estimates:revenue_estimates_select_for_staff; POLICY:public.revenue_estimates:revenue_estimates_write_for_staff; POLICY:public.revenues:revenues_delete_for_admin; POLICY:public.revenues:revenues_insert_for_managers; POLICY:public.revenues:revenues_select_for_managers; POLICY:public.revenues:revenues_update_for_managers; POLICY:public.security_alerts:security_alerts_select_admin; POLICY:public.security_alerts:security_alerts_update_admin; POLICY:public.security_events:security_events_admin_select; POLICY:public.security_events:security_events_admin_update; POLICY:public.security_events:security_events_self_select; POLICY:public.session_policies:session_policies_admin_all; POLICY:public.session_policies:session_policies_staff_select; POLICY:public.shift_request_audit_logs:shift_request_audit_logs_select_scoped; POLICY:public.shift_request_periods:shift_request_periods_insert_managers; POLICY:public.shift_request_periods:shift_request_periods_select_scoped; POLICY:public.shift_request_periods:shift_request_periods_update_managers; POLICY:public.shift_requests:shift_requests_insert_scoped; POLICY:public.shift_requests:shift_requests_select_scoped; POLICY:public.shift_requests:shift_requests_update_scoped; POLICY:public.staff:staff_delete_for_managers; POLICY:public.staff:staff_select_for_staff; POLICY:public.staff:staff_update_for_staff; POLICY:public.staff_clinic_memberships:staff_clinic_memberships_select_scoped; POLICY:public.staff_invites:staff_invites_clinic_admin_select; POLICY:public.staff_invites:staff_invites_creator_delete; POLICY:public.staff_invites:staff_invites_creator_insert; POLICY:public.staff_invites:staff_invites_creator_select; POLICY:public.staff_invites:staff_invites_creator_update; POLICY:public.staff_performance:staff_performance_delete_for_managers; POLICY:public.staff_performance:staff_performance_insert_for_staff; POLICY:public.staff_performance:staff_performance_select_for_staff; POLICY:public.staff_performance:staff_performance_update_for_staff; POLICY:public.staff_preferences:staff_preferences_delete; POLICY:public.staff_preferences:staff_preferences_insert_policy; POLICY:public.staff_preferences:staff_preferences_select; POLICY:public.staff_preferences:staff_preferences_update; POLICY:public.staff_preferences:staff_preferences_update_policy; POLICY:public.staff_profiles:staff_profiles_select_scoped; POLICY:public.staff_shifts:staff_shifts_delete; POLICY:public.staff_shifts:staff_shifts_insert; POLICY:public.staff_shifts:staff_shifts_select; POLICY:public.staff_shifts:staff_shifts_update; POLICY:public.subscriptions:customer admin can read own subscription; POLICY:public.user_permissions:user_permissions_admin_manage; POLICY:public.user_sessions:user_sessions_admin_delete; POLICY:public.user_sessions:user_sessions_admin_select; POLICY:public.user_sessions:user_sessions_self_insert; POLICY:public.user_sessions:user_sessions_self_select; POLICY:public.user_sessions:user_sessions_self_update; POLICY:public.visits:visits_delete_for_managers; POLICY:public.visits:visits_insert_for_staff; POLICY:public.visits:visits_select_for_staff; POLICY:public.visits:visits_update_for_staff","","dynamic/transitive runtime callers"
"app_private","app_private.custom_access_token_hook(jsonb)","custom_access_token_hook","","","dynamic/transitive runtime callers"
"app_private","app_private.get_current_clinic_id()","get_current_clinic_id","","","dynamic/transitive runtime callers"
