"schema","table_name","owner","rls_enabled","force_rls","has_clinic_id","clinic_id_nullable","policy_count","anon_select","anon_write_any","authenticated_select","authenticated_write_any","classification","expected","difference"
"public","ai_comments","postgres","true","false","true","YES","4","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","postgres","true","false","true","NO","2","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","audit_logs","postgres","true","false","true","YES","2","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_feedback","postgres","true","false","true","NO","4","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_usage_metrics","postgres","true","false","true","NO","3","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","billing_audit_logs","postgres","true","false","false",,"1","false","false","false","false","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","billing_overrides","postgres","true","false","false",,"1","false","false","false","false","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","blocks","postgres","true","false","true","NO","4","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","calendar_feed_tokens","postgres","true","false","true","YES","2","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","care_episodes","postgres","true","false","true","NO","3","false","false","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","chat_messages","postgres","true","false","false",,"2","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","chat_sessions","postgres","true","false","true","YES","4","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_feature_flags","postgres","true","false","true","NO","2","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_line_credentials","postgres","true","false","true","NO","0","false","false","false","false","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","postgres","true","false","true","NO","6","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinics","postgres","true","false","false",,"5","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","critical_incidents","postgres","true","false","false",,"2","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","csp_violations","postgres","true","false","true","YES","3","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customer_insurance_coverages","postgres","true","false","true","NO","2","false","false","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customers","postgres","true","false","true","NO","4","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tag_definitions","postgres","true","false","false",,"1","false","false","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tags","postgres","true","false","true","NO","4","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_items","postgres","true","false","true","NO","4","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_reports","postgres","true","false","true","YES","4","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","email_logs","postgres","true","false","true","NO","1","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","email_outbox","postgres","true","false","true","NO","1","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","encryption_keys","postgres","true","false","false",,"0","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","improvement_backlog","postgres","true","false","false",,"4","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_items","postgres","true","false","false",,"1","false","false","true","false","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_revision_diffs","postgres","true","false","false",,"1","false","false","true","false","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_schedules","postgres","true","false","false",,"1","false","false","true","false","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_source_snapshots","postgres","true","false","false",,"1","false","false","true","false","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_sources","postgres","true","false","false",,"1","false","false","true","false","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","insurance_fee_warning_definitions","postgres","true","false","false",,"1","false","false","true","false","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","internal_job_runs","postgres","true","false","false",,"0","false","false","false","false","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","line_message_outbox","postgres","true","false","true","NO","0","false","false","false","false","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","manager_clinic_assignments","postgres","true","false","true","NO","4","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","master_categories","postgres","true","false","false",,"0","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","master_patient_types","postgres","true","false","false",,"0","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","master_payment_methods","postgres","true","false","false",,"0","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","menu_billing_profiles","postgres","true","false","true","NO","2","false","false","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","menu_categories","postgres","true","false","false",,"0","true","true","true","true","UNCLASSIFIED","UNDECIDED","UNKNOWN"
